City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description,Rain (last 3 hrs),Snow (last 3 hrs),Date
0,Yellowknife,62.46,-114.35,62.01,29,20,10.29,CA,few clouds,0.0,0.0,2020-05-30 21:19:58
1,Yellowknife,62.46,-114.35,62.01,29,20,10.29,CA,,,,2020-05-30 21:19:58
2,Mataura,-46.19,168.86,37.8,78,50,2.51,NZ,scattered clouds,0.0,0.0,2020-05-30 21:19:51
3,Mataura,-46.19,168.86,37.8,78,50,2.51,NZ,,,,2020-05-30 21:19:51
4,Cabo San Lucas,22.89,-109.91,93.0,45,5,11.41,MX,clear sky,0.0,0.0,2020-05-30 21:15:40
5,Cabo San Lucas,22.89,-109.91,93.0,45,5,11.41,MX,,,,2020-05-30 21:15:40
6,Emilio Carranza,19.97,-96.61,80.76,65,94,16.33,MX,overcast clouds,0.0,0.0,2020-05-30 21:27:49
7,Emilio Carranza,19.97,-96.61,80.76,65,94,16.33,MX,,,,2020-05-30 21:27:49
8,Punta Arenas,-53.15,-70.92,42.8,93,90,8.05,CL,light rain,0.0,0.0,2020-05-30 21:19:44
9,Punta Arenas,-53.15,-70.92,42.8,93,90,8.05,CL,,,,2020-05-30 21:19:44
10,Jamestown,42.1,-79.24,60.01,67,90,18.34,US,overcast clouds,0.0,0.0,2020-05-30 21:20:01
11,Jamestown,42.1,-79.24,60.01,67,90,18.34,US,,,,2020-05-30 21:20:01
12,Codrington,-38.27,141.97,47.52,93,100,9.53,AU,overcast clouds,0.0,0.0,2020-05-30 21:23:42
13,Codrington,-38.27,141.97,47.52,93,100,9.53,AU,,,,2020-05-30 21:23:42
14,Bredasdorp,-34.53,20.04,50.0,87,0,6.93,ZA,clear sky,0.0,0.0,2020-05-30 21:19:51
15,Bredasdorp,-34.53,20.04,50.0,87,0,6.93,ZA,,,,2020-05-30 21:19:51
