City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
Emilio Carranza,MX,80.76,overcast clouds,19.97,-96.61,hotel delicias
Ugoofaaru,MV,80.6,overcast clouds,5.67,73.0,Ungoofaaru Inn
Auki,SB,81.05,clear sky,-8.77,160.7,Auki Motel
Hualmay,PE,70.38,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
Atuona,PF,80.94,light rain,-9.8,-139.03,Villa Enata
Akhmim,EG,82.4,clear sky,26.56,31.75,برج الماسة السكني
Puerto Ayora,EC,84.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
Mogadishu,SO,80.28,overcast clouds,2.04,45.34,Hotel Juba
Kilindoni,TZ,80.76,light rain,-7.91,39.67,Bustani B&B
Albany,US,79.0,clear sky,42.6,-73.97,
Ontario,US,82.4,scattered clouds,34.06,-117.65,DoubleTree by Hilton Hotel Ontario Airport
Staunton,US,82.4,broken clouds,38.15,-79.07,Stonewall Jackson Hotel
Butaritari,KI,81.12,overcast clouds,3.07,172.79,Isles Sunset Lodge
Shahreza,IR,77.68,broken clouds,32.03,51.88,خوابگاه
Rikitea,PF,74.89,clear sky,-23.12,-134.97,Pension Maro'i
Kapaa,US,84.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
Sao Domingos Do Maranhao,BR,75.74,broken clouds,-5.58,-44.39,Pousada Babaçu
Hashtgerd,IR,80.6,few clouds,35.96,50.69,Parse System
Avarua,CK,82.4,clear sky,-21.21,-159.78,Paradise Inn
Rutul,RU,73.4,few clouds,41.54,47.42,
Inhambane,MZ,70.75,clear sky,-23.86,35.38,MHL Turismo SA
Bethel,US,80.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
Bonthe,SL,80.1,moderate rain,7.53,-12.51,Bonthe Holiday Village
Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
Arraial Do Cabo,BR,73.4,clear sky,-22.97,-42.03,Pousada Porto Praia
Srandakan,ID,78.46,broken clouds,-7.94,110.25,Puri Brata
Puerto Escondido,MX,84.2,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
Hithadhoo,MV,84.43,scattered clouds,-0.6,73.08,Scoop Guest House
Kavieng,PG,82.65,scattered clouds,-2.57,150.8,Nusa Island Retreat
Wajir,KE,80.35,broken clouds,1.75,40.06,Al- Amin lodge
Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
Karratha,AU,74.07,broken clouds,-20.74,116.85,ibis Styles Karratha
La Libertad,EC,73.4,scattered clouds,-2.23,-80.9,Playa Canela Hotel Boutique
Sao Filipe,CV,76.5,clear sky,14.9,-24.5,Tortuga B&B
Kota Belud,MY,78.01,few clouds,6.35,116.43,Tang Dynasty Lodge Kota Belud
Nioki,CD,74.23,overcast clouds,-2.72,17.68,
Mecca,SA,83.55,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
Daru,PG,79.23,light rain,-9.08,143.21,New century hotel
Kingston,JM,86.0,scattered clouds,18.0,-76.79,The Jamaica Pegasus Hotel
Salalah,OM,77.0,light rain,17.02,54.09,HAMDAN PLAZA HOTEL
Okmulgee,US,82.4,clear sky,35.62,-95.96,Holiday Inn Express & Suites Okmulgee
Sangueya,GN,78.98,overcast clouds,10.7,-14.37,
San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
Dingle,PH,77.83,few clouds,11.0,122.67,Camp Pasica
Cockburn Town,TC,81.63,light rain,21.46,-71.14,Osprey Beach Hotel
Bathsheba,BB,86.0,few clouds,13.22,-59.52,Atlantis Hotel
Port Blair,IN,83.19,overcast clouds,11.67,92.75,Hotel Sentinel
Sitio Novo Do Tocantins,BR,82.4,scattered clouds,-5.52,-47.46,Imperial Hotel
Clifton,US,84.2,few clouds,40.86,-74.16,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
Jalu,LY,80.02,clear sky,29.03,21.55,Jalu Hotel
