City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2020-05-27 20:18:28,-24.79,-50.01,58.78,65,0,3.65
1,Laminusa,PH,2020-05-27 20:18:28,5.55,120.91,84.65,75,100,5.23
2,Davila,PH,2020-05-27 20:18:28,18.47,120.58,82.58,76,36,5.82
3,Ushuaia,AR,2020-05-27 20:18:28,-54.8,-68.3,41.0,79,96,5.82
4,Mount Gambier,AU,2020-05-27 20:14:29,-37.83,140.77,50.0,100,90,6.93
5,Bonavista,CA,2020-05-27 20:18:28,48.65,-53.11,42.01,75,100,7.0
6,Saldanha,ZA,2020-05-27 20:18:29,-33.01,17.94,55.4,82,45,3.36
7,Albany,US,2020-05-27 20:13:34,42.6,-73.97,88.0,44,100,9.98
8,Buraydah,SA,2020-05-27 20:17:57,26.33,43.98,93.2,20,0,8.05
9,Dong Hoi,VN,2020-05-27 20:18:29,17.48,106.6,78.82,87,48,2.08
10,Talnakh,RU,2020-05-27 20:18:29,69.49,88.4,35.6,74,75,2.24
11,Bredasdorp,ZA,2020-05-27 20:18:29,-34.53,20.04,55.4,58,0,6.93
12,Constitucion,CL,2020-05-27 20:17:40,-35.33,-72.42,58.8,81,53,4.76
13,Veshenskaya,RU,2020-05-27 20:18:29,49.63,41.73,55.72,87,31,8.1
14,Port Elizabeth,ZA,2020-05-27 20:13:55,-33.92,25.57,50.0,66,26,6.93
15,Birao,CF,2020-05-27 20:18:30,10.28,22.79,91.06,29,93,1.81
16,Hilo,US,2020-05-27 20:14:37,19.73,-155.09,80.6,61,75,6.2
17,Fortuna,US,2020-05-27 20:18:31,40.6,-124.16,62.01,87,20,10.29
18,East London,ZA,2020-05-27 20:18:31,-33.02,27.91,57.74,39,0,10.67
19,Kavieng,PG,2020-05-27 20:18:31,-2.57,150.8,82.92,75,75,11.45
20,Guerrero Negro,MX,2020-05-27 20:18:31,27.98,-114.06,78.94,44,0,15.1
21,Bambous Virieux,MU,2020-05-27 20:18:31,-20.34,57.76,75.2,83,40,11.41
22,Akureyri,IS,2020-05-27 20:18:31,65.68,-18.09,51.8,53,75,41.38
23,Lompoc,US,2020-05-27 20:15:51,34.64,-120.46,79.0,60,1,10.29
24,Carnarvon,AU,2020-05-27 20:18:31,-24.87,113.63,63.64,49,0,12.44
25,Vardo,NO,2020-05-27 20:18:32,70.37,31.11,44.6,75,100,4.7
26,Ahipara,NZ,2020-05-27 20:18:32,-35.17,173.17,57.36,90,18,8.95
27,Launceston,AU,2020-05-27 20:18:32,-41.45,147.17,53.01,100,90,10.29
28,Chokurdakh,RU,2020-05-27 20:18:32,70.63,147.92,52.48,43,12,17.07
29,Bibiani,GH,2020-05-27 20:16:08,6.46,-2.32,74.41,96,100,1.57
30,Podporozhye,RU,2020-05-27 20:18:32,60.91,34.17,49.51,77,21,3.24
31,Tura,IN,2020-05-27 20:18:10,25.52,90.22,70.03,97,75,3.74
32,Butaritari,KI,2020-05-27 20:18:33,3.07,172.79,81.86,77,81,12.15
33,Rocha,UY,2020-05-27 20:18:33,-34.48,-54.33,59.0,71,0,6.55
34,Sakakah,SA,2020-05-27 20:16:06,29.97,40.21,93.2,12,40,9.17
35,Port Alfred,ZA,2020-05-27 20:18:33,-33.59,26.89,53.01,62,0,4.0
36,Rikitea,PF,2020-05-27 20:18:33,-23.12,-134.97,76.17,82,7,10.33
37,Bengkulu,ID,2020-05-27 20:18:33,-3.8,102.27,76.17,87,100,8.5
38,Mataura,NZ,2020-05-27 20:18:33,-46.19,168.86,36.39,90,0,1.81
39,Nacala,MZ,2020-05-27 20:18:34,-14.54,40.67,75.76,82,0,6.93
40,Saint-Philippe,RE,2020-05-27 20:18:34,-21.36,55.77,71.6,72,27,5.82
41,Urumqi,CN,2020-05-27 20:18:34,43.8,87.6,69.8,46,75,4.47
42,Ponta Do Sol,PT,2020-05-27 20:18:34,32.67,-17.1,66.99,82,20,3.36
43,La Rioja,ES,2020-05-27 20:18:34,42.25,-2.5,75.2,50,1,3.36
44,Vaini,TO,2020-05-27 20:18:34,-21.2,-175.2,73.4,94,75,2.24
45,Kushima,JP,2020-05-27 20:18:35,31.46,131.23,64.31,82,100,6.42
46,Thompson,CA,2020-05-27 20:13:59,55.74,-97.86,46.4,87,90,13.87
47,Zurrieq,MT,2020-05-27 20:18:35,35.83,14.47,63.0,72,0,6.93
48,Klaksvik,FO,2020-05-27 20:18:35,62.23,-6.59,48.2,87,32,5.82
49,Lebu,CL,2020-05-27 20:18:35,-37.62,-73.65,55.63,66,0,21.25
50,Jamestown,US,2020-05-27 20:13:51,42.1,-79.24,82.0,47,1,12.75
51,Hobart,AU,2020-05-27 20:18:33,-42.88,147.33,51.01,81,67,5.82
52,Khatanga,RU,2020-05-27 20:18:36,71.97,102.5,30.16,91,95,10.78
53,Vestmannaeyjar,IS,2020-05-27 20:18:36,63.44,-20.27,46.81,86,100,16.89
54,Busselton,AU,2020-05-27 20:18:36,-33.65,115.33,55.99,86,33,12.33
55,Cienfuegos,CU,2020-05-27 20:18:36,22.15,-80.44,87.8,70,95,10.29
56,Punta Arenas,CL,2020-05-27 20:14:06,-53.15,-70.92,41.0,80,100,10.29
57,Petropavlovsk-Kamchatskiy,RU,2020-05-27 20:18:36,53.05,158.65,39.2,100,75,13.42
58,Zakamensk,RU,2020-05-27 20:18:36,50.37,103.29,37.27,78,98,5.44
59,Guhagar,IN,2020-05-27 20:18:37,17.48,73.19,78.73,90,49,4.45
60,Makhalino,RU,2020-05-27 20:18:37,53.09,46.22,53.76,82,89,4.94
61,Chuy,UY,2020-05-27 20:18:37,-33.7,-53.46,58.01,70,0,4.65
62,Sidi Ali,DZ,2020-05-27 20:18:37,36.1,0.42,68.25,74,0,11.21
63,Bluff,NZ,2020-05-27 20:18:37,-46.6,168.33,42.51,84,3,5.1
64,Kapaa,US,2020-05-27 20:18:38,22.08,-159.32,79.0,69,20,12.75
65,Norman Wells,CA,2020-05-27 20:18:38,65.28,-126.83,62.6,39,20,17.22
66,Vila Velha,BR,2020-05-27 20:17:23,-20.33,-40.29,75.2,50,1,11.41
67,Pevek,RU,2020-05-27 20:18:38,69.7,170.31,37.56,78,100,16.08
68,Nikolskoye,RU,2020-05-27 20:18:38,59.7,30.79,55.0,58,8,4.47
69,Mahibadhoo,MV,2020-05-27 20:18:38,3.78,72.97,83.43,78,77,13.87
70,Mama,RU,2020-05-27 20:18:38,58.31,112.9,40.57,79,97,8.08
71,Kodiak,US,2020-05-27 20:18:39,57.79,-152.41,50.0,76,90,11.41
72,Mayor Pablo Lagerenza,PY,2020-05-27 20:18:39,-19.93,-60.77,84.02,25,0,6.42
73,Puerto Leguizamo,CO,2020-05-27 20:18:39,-0.19,-74.78,83.8,69,14,2.37
74,Barrow,US,2020-05-27 20:18:39,71.29,-156.79,30.2,92,90,1.03
75,Cape Town,ZA,2020-05-27 20:15:36,-33.93,18.42,57.0,71,75,13.87
76,Yellowknife,CA,2020-05-27 20:18:39,62.46,-114.35,51.8,21,20,4.7
77,Panjakent,TJ,2020-05-27 20:18:40,39.5,67.61,77.0,44,72,4.7
78,Hassleholm,SE,2020-05-27 20:18:40,56.16,13.77,57.0,62,100,8.05
79,Torbay,CA,2020-05-27 20:18:40,47.67,-52.73,46.0,75,75,11.41
80,Tezu,IN,2020-05-27 20:18:40,27.92,96.17,67.6,65,100,3.33
81,Alepe,CI,2020-05-27 20:18:40,5.5,-3.66,80.6,88,75,9.17
82,Lere,NG,2020-05-27 20:18:40,10.39,8.57,75.56,75,100,4.14
83,Cartagena Del Chaira,CO,2020-05-27 20:18:40,1.33,-74.84,82.22,77,98,2.77
84,Ust-Maya,RU,2020-05-27 20:18:41,60.42,134.53,57.25,81,29,7.9
